,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
4569,7.271,118,en,"Comedy, Drama, Music",1991,Summer,R,34849277.92,28029717.68
4570,5.397,105,en,"Romance, Comedy",1999,Spring,PG-13,179661861.2,143517955
4571,6.096,93,en,"Comedy, Horror",1986,Winter,R,55779123.96,8605839.416
4572,5.917,103,en,"Comedy, Drama, Romance",2008,Fall,R,21751178.93,21895395.11
4573,6.251,87,en,"Comedy, Crime",1999,Winter,R,5887718.856,5740718.198
4575,6.062,107,en,"Action, Drama, Mystery, Thriller, Crime",1997,Spring,R,50993085.36,79044626.02
4576,6.303,107,en,"Action, Crime, Drama, Thriller",2001,Fall,R,51173043.97,62844089.09
4577,6.768,108,en,"Drama, Comedy, Romance",2007,Spring,PG-13,34544810.28,2329855.347
4578,6.748,101,en,Drama,2001,Fall,PG-13,43426667.88,55661907.48
4579,5.695,91,en,"Comedy, Romance",2004,Fall,PG-13,25114013.96,76393088.55
4580,5.749,117,en,"Comedy, Fantasy, Science Fiction",1996,Summer,PG-13,42914406.75,91632124.35
4581,4.559,89,en,Horror,2014,Winter,R,48969894.06,9408505.617
4582,5.168,95,en,"Horror, Thriller, Mystery",2006,Winter,R,34104949.85,14269288.96
4583,7.643,109,sv,"Crime, Drama",2002,Summer,R,1789021.213,8166233.766
4584,6.019,117,en,"Action, Adventure, Fantasy, Science Fiction",1983,Summer,PG,53105503.31,86797546.01
4585,6.674,111,en,"Drama, History",2016,Fall,PG-13,18338724.7,18578736.77
4586,6.185,121,en,Action,1994,Summer,R,64849842.88,60213406.29
4587,5.933,88,en,"Animation, Family, Comedy, Adventure, Romance",2010,Fall,PG,73272508.27,29018815.16
4588,5.9,131,en,"Drama, Romance, War",2001,Spring,R,111526523.1,102346087.9
4589,5.86,120,en,"Action, Crime, Drama, Thriller",1990,Winter,R,53388461.43,24678178.96
4590,5.51,107,en,"Horror, Mystery",2010,Fall,R,31196405.91,36273518.95
4591,6.054,98,en,"Drama, Horror, Thriller",2006,Fall,R,12835475.92,6341906.203
4592,4.904,91,en,"Thriller, Horror",2011,Fall,PG-13,14456974.95,39974026.33
4593,4.863,96,en,"Science Fiction, Horror",1996,Summer,PG-13,101055529.3,81450777.2
4594,5.477,106,en,"Action, Crime, Science Fiction, Thriller",1995,Summer,R,50304000,62754491.02
4595,6.074,99,en,"Family, Adventure, Crime, Mystery, Comedy",2007,Summer,PG,47708393.59,31064737.97
4596,6.156,95,en,"Action, Horror, Thriller",2005,Fall,R,1085764.82,5275721.028
4597,7.154,144,en,"Drama, History, War",1970,Winter,G,308993650.8,211970476.2
4598,6.766,139,en,"Drama, Music",2014,Summer,PG-13,44957833.08,40322166.93
